,term,idf
0,白酒,4.005637289924643
1,国务院,3.4339986114305057
2,有利于,3.4022095392539584
3,供给,3.52453981912366
4,材料,3.3113465986626185
5,教育,4.298673103653526
6,宽带,5.331980293913868
7,营业,2.6302719993369426
8,会议,3.241820536014008
9,控股,2.395741816283749
10,拓展,3.5146875226806484
11,打造,3.6366810908733753
12,整合,3.4135375395591656
13,银行,2.767030936452332
14,报告,2.5058916619297773
15,计划,2.4207546997344975
16,客户,3.1838332783636587
17,累计,2.4648653981819706
18,重组,3.0547130089041126
19,海外,3.3910084264991376
20,运营商,4.375143467645364
21,运营,2.9506796334543486
22,体育产业,5.974696620846921
23,涨幅,2.5307119639795577
24,上涨,2.3157694890163363
25,持股,2.7318481546206015
26,工程,3.2932260575494237
27,十三,4.050089052495476
28,拥有,2.8659284448894975
29,整体,2.3145033989548276
30,带来,2.438739093589751
31,城镇化,5.029324679671925
32,开发,3.0293952009198226
33,开放,4.038198305973955
34,水平,2.7312081545987565
35,试点,3.5259552475269906
36,表现,2.3975733186272166
37,龙头,2.9618976998156255
38,增速,2.8948944506880254
39,交通,4.202248096531954
40,区域,3.3545523845381497
41,制度,3.372614284343163
42,建议,2.6147767108251707
43,铁路,4.34899818754104
44,产能,3.174819697058297
45,独角兽,5.67885123775598
46,万股,2.9108461751838566
47,评级,3.551781647086889
48,软件,3.6853130397114118
49,全国,2.8021222562636017
50,发布,1.9108676025507714
51,高端,3.3557464145307576
52,基础,2.831392638563715
53,ppp,4.9497720479699705
54,股权,2.413743687141452
55,券商,2.7925528052474506
56,实施,2.545480164874908
57,提出,2.694771963284557
58,并购,3.245023955731546
59,上市,2.1867881280499235
60,改善,3.11954629791412
61,看好,2.8201407617662797
62,显示,1.6152592795041258
63,增加,2.3980317188186038
64,分析,2.134363328547262
65,提高,2.738270784277069
66,社会,3.3333001088784906
67,电子,2.8506720647054014
68,推荐,3.2021078986071405
69,回购,4.134927932432506
70,综合,2.839202404917772
71,盈利,2.531759633012001
72,概念股,2.7776977042565267
73,估值,2.659021412622928
74,政府,3.015696356561661
75,体系,3.1818232274356344
76,融合,3.960887094126028
77,升级,3.0441588212254223
78,经营,2.336248020359877
79,研究,2.546543429196238
80,国企改革,3.983011890406664
81,完善,3.1888761533975205
82,信息化,3.9565202749596877
83,销售,2.577880407200329
84,新能源,3.335639291231663
85,模式,3.009761621041846
86,一路,3.6770416939607347
87,资源,2.8630044661980625
88,装备,3.5217149584881056
89,预期,2.3798576611258055
90,联网,4.180208636965663
91,物流,3.9097032149144715
92,环保,3.2270054502288676
93,上海,2.523928739431453
94,包括,1.9890575675186402
95,空间,2.595599586185432
96,基金,2.694771963284557
97,通信,3.3333001088784906
98,支持,2.7545101798016005
99,指出,2.2833611687731152
100,核心,2.664991579609432
101,提供,2.4881741648074382
102,资产,2.301513482380304
103,超过,1.8952160812569703
104,机会,2.5702259138397974
105,a股,1.9854090380836253
106,系统,3.025094119020432
107,投资者,2.038060974038811
108,股东,2.0281929964622414
109,信息,2.325529804139853
110,军工,4.094105937912251
111,管理,2.340134874745852
112,工作,2.507936652417505
113,设备,2.9506796334543486
114,汽车,3.0199571214225154
115,规模,2.274812368490876
116,产业链,2.895648314274425
117,上半年,2.751241134719696
118,网络,3.1619418568818056
119,工业,3.163912300869104
120,生产,2.4871711556962692
121,全球,2.640737211128039
122,进一步,2.2460449033155543
123,一带,4.596632758863547
124,转型,2.9169905877561977
125,数据,1.8916174614564905
126,健康,3.23756521044387
127,研发,2.7676942863937377
128,消费,2.97650834933306
129,农业,4.017144896776123
130,布局,2.6136384067751104
131,需求,2.472739454612877
132,金融,2.6806829094041076
133,城市,3.2798479316032476
134,体育,5.010396669786406
135,收入,2.313660228584469
136,机构,2.1633094266669857
137,增持,3.24609404679139
138,医疗,3.485699985807396
139,优势,2.7096883368052205
140,加快,2.8608170792522616
141,资金,1.8811720668708516
142,资本,2.3646652330834543
143,规划,3.057369052962229
144,能力,2.406319059067174
145,智慧,3.90555383136766
146,持续,1.9970086797439994
147,受益,2.6360724796373836
148,平台,2.7235599337604994
149,制造,2.953072933360189
150,净利润,2.1489103297948065
151,关注,1.8010662577617365
152,政策,2.277653856093824
153,预计,2.007192381393714
154,重点,2.347518187330917
155,项目,2.361565828344167
156,板块,2.257134125862648
157,推动,2.5470754856067677
158,国际,2.520295203121302
159,相关,1.6385851886474918
160,集团,2.0672743465047123
161,个股,2.3794075148206577
162,国内,2.2833611687731152
163,我国,2.580078210282809
164,上市公司,1.732544639817908
165,战略,2.557776497298789
166,经济,2.311134974717275
167,机器人,3.9897459225880083
168,有望,2.167305798924959
169,科技,2.0577676366499214
170,未来,1.890788846576874
171,国家,2.367329533060917
172,智能,3.067168685951032
173,提升,2.1611363001326724
174,合作,2.697242625443126
175,万元,2.1964860779847184
176,创新,2.7046914494561167
177,推进,2.453653971948981
178,互联网,3.0276725476083763
179,证券,1.651976317480309
180,技术,2.3065218400946765
181,业绩,1.935679940617811
182,服务,2.498766949857652
183,同比,2.184933872002228
184,改革,2.7564767487736415
185,产品,2.129444133806733
186,股份,1.5322382469881222
187,投资,1.6200917292906742
188,领域,2.1460552243578266
189,亿元,1.5434895780962163
190,业务,2.0256621504419563
191,中国,1.545246876215141
192,建设,2.3989491500756133
193,产业,2.2679450419668634
194,企业,1.7113243029239285
195,增长,1.8243023344425846
196,行业,1.674182352500972
197,市场,1.3420388513932664
198,发展,1.678415398812933
199,公司,1.29926660673765
