,term,idf
0,amc,7.8883459076840134
1,mp,7.7829853920261876
2,mps,8.006128943340396
3,silva,7.8883459076840134
4,st,3.4288439608418413
5,the,7.7829853920261876
6,万元,2.1964860779847184
7,万家,6.078237299787762
8,万家乐,8.13966033596492
9,上诉,7.04104804729681
10,下挂,8.293811015792178
11,不晚,7.141131505853792
12,不服,6.042519217185682
13,中介机构,5.061689964173956
14,中安,7.04104804729681
15,中弘,6.371998418315925
16,丹东港,7.8883459076840134
17,举报,5.768082371483922
18,乐视,5.281549440286976
19,乐视致,7.195198727124068
20,九次,8.13966033596492
21,事件,3.2000608149854157
22,事先,5.728861658330641
23,事务所,4.490859105418394
24,事实,4.55614139750881
25,事项,3.1919141304175973
26,二条,6.994528031661917
27,亏损,3.080688495307373
28,亚厦,7.312981762780452
29,交易,2.3384055184998984
30,京报,4.638833113353923
31,人民法院,4.817712325956904
32,亿阳,7.8883459076840134
33,代理律师,8.293811015792178
34,仲裁,5.851463980422974
35,会展,7.312981762780452
36,会计,4.881563797943437
37,会计师,4.592509041679684
38,伪造,6.078237299787762
39,作出,3.8789945582953056
40,依法,4.345777572840999
41,保全,5.911183215124596
42,保留意见,6.753365974845029
43,信息,2.325529804139853
44,借款,4.191167650755382
45,债务,3.7884611650862974
46,做空,5.974696620846921
47,停牌,3.3557464145307576
48,停顿,6.994528031661917
49,公安局,6.5302224235308195
50,公安机关,5.596934115288093
51,公章,6.447984325293847
52,关联,3.7522908568805424
53,关联方,4.6919429386678715
54,养元,6.789733619015903
55,内幕,5.136810594642064
56,内讧,7.446513155404975
57,冒充,8.006128943340396
58,冬虫夏草,8.293811015792178
59,冯鑫,7.089838211466242
60,冲压,8.006128943340396
61,决定书,5.088358211256118
62,冻结,4.34899818754104
63,减值,4.398595128680413
64,出具,4.3048269692279035
65,分拆,6.153744852295907
66,刑事,5.958436099975141
67,刑事拘留,6.994528031661917
68,刑事责任,6.6843731033580776
69,刑期,8.006128943340396
70,刑法,6.994528031661917
71,刘伟,8.293811015792178
72,刘某,7.252357140964016
73,刘祥华,8.293811015792178
74,创势翔,8.293811015792178
75,判决,5.781505391816063
76,到期,4.031131138750863
77,北京市第一中级人民法院,8.13966033596492
78,千山,6.060218794285084
79,千里,6.096586438455958
80,华新,7.377520283918023
81,华昌达,6.651583280535086
82,华林,7.312981762780452
83,华泽,6.502051546564123
84,华锐,7.312981762780452
85,华阳,8.13966033596492
86,卓翼,6.8666946601520324
87,博信,7.312981762780452
88,博傻,7.7829853920261876
89,博元,6.789733619015903
90,占用,5.233540221100616
91,印纪,7.141131505853792
92,危机,4.433081304751582
93,原告,5.926687401660561
94,厦华,8.293811015792178
95,双林,7.252357140964016
96,双鹤,7.446513155404975
97,发审委,5.340638356656982
98,发展,1.678415398812933
99,发行人,4.881563797943437
100,司法机关,6.474652572376009
101,听证,6.422008838890586
102,听证会,6.907516654672287
103,告知,4.812570926456486
104,周刊,6.214369474112342
105,商行,6.2569290885311375
106,商誉,4.961606505616974
107,回复,3.659082027562542
108,因涉嫌,5.225758080658561
109,国创,7.089838211466242
110,圣莱达,8.293811015792178
111,坚瑞沃,6.718274655033759
112,垃圾焚烧,6.950076269091083
113,增长,1.8243023344425846
114,处以,5.241383398561641
115,处罚,4.358722737433036
116,复牌,3.9763229022558675
117,多计,7.312981762780452
118,大亚,7.687675212221863
119,大族,4.782265576961157
120,天安,6.753365974845029
121,失败,4.787253118472196
122,奇葩,6.827473946998751
123,奥士康,8.13966033596492
124,如实,6.474652572376009
125,妖股,6.422008838890586
126,委员,5.048617882606604
127,委派,6.950076269091083
128,嫌疑人,7.600663835232233
129,存货,4.807455825789716
130,孙宏斌,6.2569290885311375
131,孟凯,8.13966033596492
132,安见,8.293811015792178
133,安踏,7.377520283918023
134,实控,4.368542783614011
135,审计,4.047699565098095
136,审计报告,5.531693593419692
137,宣判,7.252357140964016
138,对欣泰,8.13966033596492
139,封堵,8.13966033596492
140,少计,7.520621127558696
141,巨额,4.58023894908787
142,差错,6.447984325293847
143,帝尔,7.7829853920261876
144,带走,6.8666946601520324
145,常山,7.195198727124068
146,年度报告,5.108836742599658
147,并处,6.827473946998751
148,庄敏,7.446513155404975
149,库存商品,7.089838211466242
150,应收,4.314129361890217
151,庞大,4.817712325956904
152,庭审,8.13966033596492
153,康弘,8.006128943340396
154,康得,4.870634727411247
155,康美,5.642919228529917
156,异常,4.3329978461945995
157,弘业,7.252357140964016
158,强制,4.634532031454532
159,当事人,5.531693593419692
160,律师,4.6518484814659935
161,恶意,5.837075242970874
162,情形,4.019462394916485
163,慈文,7.195198727124068
164,慧球,7.687675212221863
165,我会,6.474652572376009
166,我司,7.600663835232233
