,term,idf
0,ftth,7.600663835232233
1,ghz,7.600663835232233
2,gis,7.141131505853792
3,ppp,4.9497720479699705
4,td,6.347900866736865
5,一体化,4.219102428086936
6,一带,4.596632758863547
7,一路,3.6770416939607347
8,业务,2.0256621504419563
9,丝绸之路,6.422008838890586
10,中亚,6.950076269091083
11,中哈,8.293811015792178
12,中外运,7.600663835232233
13,习近平,5.1877306850693214
14,二维码,6.8666946601520324
15,互利,6.907516654672287
16,互联网,3.0276725476083763
17,交通,4.202248096531954
18,交通运输,4.665035485747946
19,产业,2.2679450419668634
20,产品,2.129444133806733
21,人造,7.252357140964016
22,优势,2.7096883368052205
23,优蓝,8.293811015792178
24,体系,3.1818232274356344
25,体育,5.010396669786406
26,体育产业,5.974696620846921
27,供应链,4.576182148392256
28,信息产业,5.470449968178974
29,信息化,3.9565202749596877
30,倡议,6.1937501869096065
31,健康,3.23756521044387
32,健身,6.5302224235308195
33,光棒,8.293811015792178
34,光纤,5.728861658330641
35,公司,1.29926660673765
36,军工,4.094105937912251
37,农业,4.017144896776123
38,农垦,6.8666946601520324
39,农村,4.854461868165647
40,农民收入,8.293811015792178
41,冬奥,8.13966033596492
42,冰雪,7.312981762780452
43,创新,2.7046914494561167
44,初见,7.687675212221863
45,制造,2.953072933360189
46,加快,2.8608170792522616
47,十三,4.050089052495476
48,华夏,4.572141738855251
49,华翔,7.312981762780452
50,协同,4.259570377639783
51,协鑫,7.141131505853792
52,发展,1.678415398812933
53,受益,2.6360724796373836
54,口岸,6.789733619015903
55,合作,2.697242625443126
56,合成,6.078237299787762
57,吡啶,8.293811015792178
58,国内,2.2833611687731152
59,国家,2.367329533060917
60,国际,2.520295203121302
61,圣牧,8.293811015792178
62,圣诞节,8.293811015792178
63,地位,3.587288335543799
64,地理,6.422008838890586
65,地理信息,6.753365974845029
66,城市,3.2798479316032476
67,城镇化,5.029324679671925
68,增强,3.495269436823547
69,奥运会,6.994528031661917
70,孵化,6.096586438455958
71,完善,3.1888761533975205
72,实验区,7.312981762780452
73,宽带,5.331980293913868
74,封装,5.619662366365649
75,布局,2.6136384067751104
76,平台,2.7235599337604994
77,平潭,6.827473946998751
78,幸福,5.151096551889541
79,康复,6.347900866736865
80,建设,2.3989491500756133
81,开放,4.038198305973955
82,开放型,7.600663835232233
83,异地,6.2569290885311375
84,总书记,6.078237299787762
85,慈善,7.520621127558696
86,我国,2.580078210282809
87,战略,2.557776497298789
88,打造,3.6366810908733753
89,扶贫,6.422008838890586
90,技术,2.3065218400946765
91,拓展,3.5146875226806484
92,推动,2.5470754856067677
93,推进,2.453653971948981
94,提升,2.1611363001326724
95,改革,2.7564767487736415
96,敦煌,7.089838211466242
97,新型,4.129733115555402
98,无线,5.257256747717932
99,普及,4.817712325956904
100,智慧,3.90555383136766
101,智能,3.067168685951032
102,有利于,3.4022095392539584
103,服务,2.498766949857652
104,未来,1.890788846576874
105,机器人,3.9897459225880083
106,机顶盒,7.195198727124068
107,构建,4.180208636965663
108,模式,3.009761621041846
109,欧洲杯,7.600663835232233
110,沥青,7.04104804729681
111,沿线,6.0251274744738135
112,活力,4.673924433165193
113,测绘,6.559209960404072
114,海底,6.994528031661917
115,深度,3.8669703653285037
116,港口,5.249288578068755
117,物流,3.9097032149144715
118,独角兽,5.67885123775598
119,现代农业,6.115278571468111
120,现代化,4.991820284213471
121,电子政务,6.6198345822205065
122,登海,6.396691030906297
123,直升机,6.950076269091083
124,着力,4.669470082815813
125,碳纳米管,8.006128943340396
126,社会,3.3333001088784906
127,种业,5.67885123775598
128,空管,7.520621127558696
129,竞争力,3.5430985245134283
130,纲要,5.265288919415196
131,纳米,6.096586438455958
132,线圈,8.13966033596492
133,经济带,5.895915742993807
134,经贸合作,7.312981762780452
135,联网,4.180208636965663
136,联运,7.141131505853792
137,能力,2.406319059067174
138,自由贸易,6.371998418315925
139,虹膜,8.293811015792178
140,融合,3.960887094126028
141,规划,3.057369052962229
142,规模经营,7.377520283918023
143,解决方案,4.031131138750863
144,识别,5.042145368100986
145,试验区,6.096586438455958
146,象屿,6.907516654672287
147,豫园,7.089838211466242
148,购物中心,6.8666946601520324
149,赛事,6.0251274744738135
150,赛马,7.8883459076840134
151,足球,6.396691030906297
152,足球场,7.687675212221863
153,跨境,4.898184679179478
154,转型,2.9169905877561977
155,运价,7.04104804729681
156,运动,5.741765063166549
157,运营商,4.375143467645364
158,金砖,7.520621127558696
159,金融中心,6.447984325293847
160,钾肥,7.377520283918023
161,隆平,6.347900866736865
162,青少年,6.907516654672287
163,领先,3.6319454861275413
164,领域,2.1460552243578266
165,频段,6.651583280535086
