,term,idf
0,大幅,2.341867226846479
1,合计,2.600640201730571
2,措施,3.318227359754841
3,汽车,3.0199571214225154
4,白酒,4.005637289924643
5,新城,5.631223188766725
6,危机,4.433081304751582
7,利润,2.8117841671753387
8,去年,2.458513068001299
9,此前,2.393000836952327
10,比例,2.4633958902026105
11,最终,2.9618976998156255
12,制度,3.372614284343163
13,下滑,2.948292047759847
14,承诺,3.6414392283197925
15,持股,2.7318481546206015
16,银隆,6.347900866736865
17,平仓,4.576182148392256
18,减持,3.4160723951623537
19,协议,3.110156557564281
20,增长,1.8243023344425846
21,法院,4.604931561678242
22,损失,4.021785276332625
23,成本,2.8069415426995503
24,出具,4.3048269692279035
25,辅仁,6.789733619015903
26,操纵,5.358182666307893
27,涉及,2.738270784277069
28,违约,4.568117588555525
29,担保,4.230498562817806
30,债券,4.11942374589654
31,健康,3.23756521044387
32,超过,1.8952160812569703
33,简称,3.0600321703817124
34,关联,3.7522908568805424
35,公司股票,3.5316370809944218
36,中弘,6.371998418315925
37,案件,4.733712351544167
38,质疑,3.8570594814290495
39,强制,4.634532031454532
40,问询,3.9222556809855917
41,调整,2.5013056666311737
42,暂停,4.221939309422136
43,獐子,6.235422883310174
44,ipo,3.74697640681705
45,面临,2.92239809417359
46,律师,4.6518484814659935
47,同比,2.184933872002228
48,账款,4.268459325057028
49,指数,3.1414832767907055
50,借款,4.191167650755382
51,下降,2.5120392222742822
52,券商,2.7925528052474506
53,电气,4.017144896776123
54,欢瑞,6.789733619015903
55,意见,3.2842874505486126
56,并购,3.245023955731546
57,博元,6.789733619015903
58,应收,4.314129361890217
59,转让,3.349790470777906
60,市值,2.739560275106941
61,环保,3.2270054502288676
62,虚增,5.490450634885643
63,行业,1.674182352500972
64,卖出,3.6903088869047833
65,子公司,2.766368026252384
66,诉讼,4.298673103653526
67,北京,2.6716001948297885
68,申请,3.290983904143734
69,原因,2.4551092232366063
70,管理,2.340134874745852
71,复牌,3.9763229022558675
72,事件,3.2000608149854157
73,报告,2.5058916619297773
74,员工,3.7208197281683217
75,万股,2.9108461751838566
76,时间,2.405394844583643
77,证券法,4.967576672603478
78,阿胶,5.257256747717932
79,发现,2.604014783110717
80,营业,2.6302719993369426
81,发生,2.9055006107174366
82,康美,5.642919228529917
83,人士,2.1775510403877623
84,数据,1.8916174614564905
85,审计,4.047699565098095
86,年度,2.971614375454198
87,销售,2.577880407200329
88,董事,3.541658639455441
89,涉嫌,4.166676630747086
90,客户,3.1838332783636587
91,财务,3.7294628243243415
92,价格,2.3726795235301035
93,董事会,3.4668315015030133
94,收到,3.2954732495063284
95,经济,2.311134974717275
96,生产,2.4871711556962692
97,年报,2.9278350007703264
98,上海,2.523928739431453
99,茅台,3.663948217213715
100,立案,4.378460220271357
101,导致,2.738270784277069
102,终止,3.9222556809855917
103,公开,2.6788597548425925
104,营业部,3.9456859327939777
105,虚假,4.743236233055422
106,事项,3.1919141304175973
107,罚款,4.887073453754407
108,发布,1.9108676025507714
109,交易日,3.0276725476083763
110,产品,2.129444133806733
111,下跌,2.782400433783433
112,连续,2.607966241822644
113,大族,4.782265576961157
114,深交所,3.452252051739856
115,重组,3.0547130089041126
116,熔断,6.060218794285084
117,会计师,4.592509041679684
118,创业板,3.272125885509337
119,行政处罚,4.604931561678242
120,发行人,4.881563797943437
121,融资,2.8673936466168257
122,事务所,4.490859105418394
123,激光,4.490859105418394
124,万科,4.311018939475824
125,持有,2.4643753222103877
126,债务,3.7884611650862974
127,经营,2.336248020359877
128,中国,1.545246876215141
129,资本,2.3646652330834543
130,收入,2.313660228584469
131,影响,2.0335924061179336
132,违规,3.9521724420235844
133,贾跃亭,5.608233670542027
134,冻结,4.34899818754104
135,项目,2.361565828344167
136,a股,1.9854090380836253
137,乐视,5.281549440286976
138,科技,2.0577676366499214
139,买入,2.960287393509522
140,金额,2.559391571674087
141,控制,2.6548634024742643
142,业务,2.0256621504419563
143,跌停,3.6319454861275413
144,基金,2.694771963284557
145,造假,4.797303454325698
146,机构,2.1633094266669857
147,收购,2.834225501648019
148,处罚,4.358722737433036
149,监管,2.845637893699764
150,长生,6.347900866736865
151,银行,2.767030936452332
152,千里,6.096586438455958
153,相关,1.6385851886474918
154,董事长,2.965934847002597
155,显示,1.6152592795041258
156,欣泰,6.589062923553753
157,亏损,3.080688495307373
158,发行,2.7389153218436944
159,净利润,2.1489103297948065
160,资产,2.301513482380304
161,违法,4.045315773742819
162,控股,2.395741816283749
163,停牌,3.3557464145307576
164,情况,2.0259781561326884
165,药业,3.7540686351265418
166,业绩,1.935679940617811
167,投资,1.6200917292906742
168,企业,1.7113243029239285
169,内幕,5.136810594642064
170,质押,3.6558510069810954
171,有限公司,2.294047665869501
172,股权,2.413743687141452
173,调查,3.5561516467580074
174,账户,3.889126357225712
175,公告,2.2269298293994417
176,风险,2.409560552991345
177,证券,1.651976317480309
178,股票,2.403088038485728
179,股价,2.263927358780251
180,上市,2.1867881280499235
181,记者,2.0525609864235648
182,股份,1.5322382469881222
183,信息,2.325529804139853
184,视网,4.6518484814659935
185,集团,2.0672743465047123
186,资金,1.8811720668708516
187,上市公司,1.732544639817908
188,交易,2.3384055184998984
189,证监会,3.081596348297553
190,投资者,2.038060974038811
191,披露,2.160051505233307
192,股东,2.0281929964622414
193,市场,1.3420388513932664
194,康得,4.870634727411247
195,退市,4.188416617383492
196,st,3.4288439608418413
197,万元,2.1964860779847184
198,亿元,1.5434895780962163
199,公司,1.29926660673765
